````,``JSON package format 1.1``,``JSON package format 1.2``,``JSON package format 1.3``
SEMS Lite 1.0.0, Supported, Not supported, Not supported
SEMS Lite 2.0.0, Not supported, Supported, Not supported
SEMS Lite 3.0.0, Not supported, Supported, Supported
